seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63206,0.6,0.4,1,1,1,0,0,0.27581617789669405,1.3939022403765772e-17,0.30071474666764625,r1
63206,0.6,0.6,1,1,1,0,0,0.4137242668450458,2.0185873175002847e-17,0.3007147466676381,r1
63206,0.6,0.8,1,1,1,0,0,0.5516323557933881,2.7878044807531544e-17,0.30071474666764625,r1
63206,0.6,1.0,1,1,1,0,0,0.6895404447417339,4.0371746350005693e-17,0.3007147466676475,r1
63206,0.6,1.2,1,1,1,0,0,0.8274485336900916,4.0371746350005693e-17,0.3007147466676381,r1
63206,0.8,0.2,1,1,1,0,0,0.13287787259861544,7.569702440626067e-17,0.26701421818519416,r4
63206,0.8,0.4,1,1,1,0,0,0.2657557451972309,1.5139404881252134e-16,0.26701421818519416,r4
63206,0.8,0.6,1,1,1,0,0,0.39863361779584977,4.037174635000569e-16,0.26701421818519616,r4
63206,0.8,0.8,1,1,1,0,0,0.5315114903944618,3.0278809762504267e-16,0.26701421818519416,r4
63206,0.8,1.0,1,1,1,0,0,0.6643893629930743,1.8167285857502563e-16,0.267014218185193,r4
63206,0.8,1.2,1,1,1,0,0,0.7972672355916995,8.074349270001138e-16,0.26701421818519616,r4
63207,0.2,0.2,1,1,1,0,0,0.19707546425495653,2.0185873175002847e-17,0.3662591292667059,r2
63207,0.2,0.4,1,1,1,0,0,0.39415092850991307,4.0371746350005693e-17,0.3662591292667059,r2
63207,0.2,0.6,1,1,1,0,0,0.5912263927648692,1.2111523905001707e-16,0.3662591292667063,r2
63207,0.2,0.8,1,1,1,0,0,0.7883018570198261,8.074349270001139e-17,0.3662591292667059,r2
63207,0.2,1.0,1,1,1,0,0,0.9853773212747831,5.853903220750825e-16,0.3662591292667059,r1
63207,0.2,1.2,1,1,0,1,1,1.1824527855297384,2.4223047810003414e-16,0.3662591292667063,r2
63207,0.4,0.2,1,1,1,0,0,0.15238615226952804,6.055761952500853e-16,0.3567414924628396,r2
63207,0.4,0.4,1,1,1,0,0,0.30477230453905607,1.2111523905001707e-15,0.3567414924628396,r2
63207,0.4,0.6,1,1,1,0,0,0.4571584568085841,4.239033366750598e-16,0.3567414924628415,r2
63207,0.4,0.8,1,1,1,0,0,0.6095446090781121,2.4223047810003414e-15,0.3567414924628396,r2
63207,0.4,1.0,1,1,1,0,0,0.7619307613476407,1.3726393759001935e-15,0.35674149246284365,r2
63207,0.4,1.2,1,1,1,0,0,0.9143169136171682,8.478066733501196e-16,0.3567414924628415,r2
63207,0.6,0.2,1,1,1,0,0,0.13993102796382953,9.134107611688787e-16,0.31081223958854887,r1
63207,0.6,0.4,1,1,1,0,0,0.27986205592765906,1.8268215223377574e-15,0.31081223958854887,r1
63207,0.6,0.6,1,1,1,0,0,0.41979308389148895,2.62416351275037e-16,0.3108122395885487,r1
63207,0.6,0.8,1,1,1,0,0,0.5597241118553181,3.653643044675515e-15,0.31081223958854887,r1
63207,0.6,1.0,1,1,1,0,0,0.6996551398191518,6.136505445200865e-15,0.31081223958855214,r2
63207,0.6,1.2,1,1,1,0,0,0.8395861677829779,5.24832702550074e-16,0.3108122395885487,r1
63207,0.8,0.2,1,1,1,0,0,0.13372990976450527,7.569702440626067e-17,0.2751193426781012,r3
63207,0.8,0.4,1,1,1,0,0,0.26745981952901055,1.5139404881252134e-16,0.2751193426781012,r3
63207,0.8,0.6,1,1,1,0,0,0.4011897292935158,1.8167285857502563e-16,0.27511934267810084,r1
63207,0.8,0.8,1,1,1,0,0,0.5349196390580211,3.0278809762504267e-16,0.2751193426781012,r3
